id,Income year,Postcode,Individuals1,Taxable income or loss1 ,Net tax,Gross interest,Net rent,Net capital gain,Total income or loss,Total deductions,Salary or wages,Medicare levy,Medicare levy surcharge,Total work related expenses,Gifts or donations,HELP assessment debt2,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,People of the Americas,Sub-Saharan African,Male,Female,under or 0,$1 to 1000,1000-1999,2000+,Married in a registered marriage,Married in a de facto marriage,Not married
200600800,2006,800,1660,80189786,19291288,982029,-948556,2189379,84768019,4545219,66405766,959934,75734,2822606,170298,260038,62,39,57,111,323,386,263,212,164,181,179,149,133,73,38,42,27,14,4,3,0,553,1018,130,6,67,95,26,4,3,1482,999,85,1114,476,111,333,269,742
200600810,2006,810,13355,625078283,140888692,5565972,-6677386,10236677,652244699,27017769,541684823,8715326,610893,18054427,1138952,1642494,1706,1763,1820,1875,2046,2099,2167,2137,2140,2123,1930,1930,1195,801,473,310,161,63,29,6,0,7588,10506,2169,145,1226,1023,441,98,237,13600,13180,1248,12535,4605,635,7255,2543,8488
200600812,2006,812,9310,430513198,95521802,2948602,-5188619,5747701,447131373,16575272,387968768,6018646,354976,11840366,653358,823035,1477,1575,1591,1539,1227,1304,1481,1513,1541,1576,1447,1112,710,412,218,124,86,21,16,3,0,5879,7255,1107,128,1139,1039,364,49,86,9461,9514,948,8521,3126,334,5766,1806,5314
200600820,2006,820,9115,501290855,128219514,5263994,-5609933,14737411,527167085,25752080,422907036,6182615,406521,16620684,811836,1251021,1163,1059,916,972,1660,1834,1728,1568,1392,1305,1248,1082,676,392,237,186,103,54,19,7,0,5292,7733,1120,23,352,533,100,87,56,9419,8172,787,7311,3668,870,4498,2012,5212
200600828,2006,828,440,23944386,6292688,260607,-62955,2316623,24894721,943140,17225625,337452,24403,538453,23955,27004,51,51,122,98,39,47,50,57,73,85,60,82,39,26,7,8,9,0,0,0,0,369,346,30,3,17,19,0,8,0,476,433,60,350,141,26,249,48,203
200600830,2006,830,8145,369188892,79956469,1260399,-3921718,3663834,384876509,15599694,347923168,4531598,331666,12660694,507664,640860,1781,1619,1620,1192,1150,1367,1485,1528,1354,1110,866,626,392,258,166,117,64,23,12,3,0,5887,6846,461,17,426,253,115,28,21,8423,8318,623,6921,2221,212,4152,1704,3904
200600832,2006,832,2970,139562478,30890833,382558,-1554586,1117560,145361131,5794158,134556229,1724264,140950,4851519,162244,245458,789,699,528,398,579,754,883,692,490,388,271,228,124,65,55,31,12,0,0,0,0,2484,3187,235,4,224,91,47,15,19,3515,3461,254,2874,1286,104,1991,896,1418
200600835,2006,835,2585,129478026,30639655,921464,-1127239,4059528,135344484,5660982,107754261,1848550,140880,3527186,152147,118807,291,352,422,483,518,317,338,429,519,494,470,382,223,158,65,65,21,14,0,0,0,1787,2843,161,3,65,48,16,7,0,3195,2372,259,2602,1042,108,1724,505,1096
200600836,2006,836,2945,137956138,30638226,817019,-1030911,2198130,144009435,5755536,116564560,1947012,165540,3943698,126465,146829,416,468,512,382,189,243,380,573,618,521,430,312,256,112,63,56,13,4,0,0,0,1939,2436,148,3,93,47,7,18,10,2931,2616,277,2293,899,94,1680,641,1156
200600837,2006,837,650,28915658,6061449,170087,-167257,684890,29953091,979297,23751692,406932,34195,738952,25667,29949,37,45,46,20,20,36,43,49,43,42,42,23,22,7,5,3,0,0,0,0,0,160,168,9,0,37,10,0,3,3,259,225,23,190,78,5,144,51,95
200600838,2006,838,120,4978563,1049013,121937,-45350,19949,5154576,174131,4204591,71000,4711,137615,4965,8077,22,48,46,31,10,14,28,52,46,55,46,35,24,9,3,10,0,0,0,0,0,158,201,8,0,14,5,0,3,0,273,213,12,204,67,11,118,57,115
200600840,2006,840,50,2277237,489026,6374,-14165,2110,2315917,38680,1617788,30382,2012,28816,1753,0,3,5,4,3,7,3,10,8,21,19,42,43,39,19,9,3,0,0,0,0,0,64,120,9,0,0,0,0,0,0,147,95,12,143,13,4,70,20,64
200600841,2006,841,115,4349276,858759,19595,-18912,7677,4509914,160640,4043709,57319,8197,143866,3641,10654,84,103,91,49,22,32,63,96,116,89,75,79,57,22,12,8,3,0,0,0,0,294,386,20,0,28,3,0,3,0,552,436,46,365,93,13,211,104,180
200600845,2006,845,255,10986641,2223428,79361,-93774,67619,11496953,510311,9435961,155486,14158,315253,23702,31870,45,78,91,42,34,40,38,69,87,91,70,90,57,47,20,13,0,0,0,0,0,305,313,10,0,9,9,0,0,0,496,415,44,368,69,15,167,86,197
200600847,2006,847,105,3950474,777681,39427,48969,61114,4223273,272799,3329802,52524,6053,142100,4361,3614,50,35,24,24,24,24,21,31,30,11,20,27,18,13,18,3,0,0,3,0,0,217,102,0,0,0,10,0,0,0,200,177,17,187,18,5,71,44,107
