postcode,suburb,state,dc,type,lat,lon,
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,AUSTRALIAN NATIONAL UNI LPO,Post Office Boxes                            ,-35.277272,149.117136,"<option value=""200"">AUSTRALIAN NATIONAL UNIVERSITY (200)</option>"
221,BARTON,ACT,NULL,LVR                                          ,-35.201372,149.095065,"<option value=""221"">BARTON (221)</option>"
800,DARWIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.801028,130.955789,"<option value=""800"">DARWIN (800)</option>"
801,DARWIN,NT,DARWIN DELIVERY CENTRE,Post Office Boxes                            ,-12.801028,130.955789,"<option value=""801"">DARWIN (801)</option>"
804,PARAP,NT,PARAP,Post Office Boxes                            ,-12.432181,130.84331,"<option value=""804"">PARAP (804)</option>"
810,ALAWA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.378451,130.877014,"<option value=""810"">ALAWA (810)</option>"
810,BRINKIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.367769,130.869808,"<option value=""810"">BRINKIN (810)</option>"
810,CASUARINA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.376597,130.850489,"<option value=""810"">CASUARINA (810)</option>"
810,JINGILI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.385761,130.873726,"<option value=""810"">JINGILI (810)</option>"
810,LEE POINT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.360865,130.891349,"<option value=""810"">LEE POINT (810)</option>"
810,MILLNER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.39087,130.864144,"<option value=""810"">MILLNER (810)</option>"
810,MOIL,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.387001,130.879351,"<option value=""810"">MOIL (810)</option>"
810,NAKARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.369175,130.87899,"<option value=""810"">NAKARA (810)</option>"
810,NIGHTCLIFF,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.382572,130.853877,"<option value=""810"">NIGHTCLIFF (810)</option>"
810,RAPID CREEK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.387231,130.864402,"<option value=""810"">RAPID CREEK (810)</option>"
810,TIWI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.363913,130.87719,"<option value=""810"">TIWI (810)</option>"
810,WAGAMAN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.379955,130.886362,"<option value=""810"">WAGAMAN (810)</option>"
810,WANGURI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.37041,130.888433,"<option value=""810"">WANGURI (810)</option>"
811,CASUARINA,NT,CASUARINA,Post Office Boxes                            ,-12.376597,130.850489,"<option value=""811"">CASUARINA (811)</option>"
812,KARAMA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.400091,130.913672,"<option value=""812"">KARAMA (812)</option>"
812,LEANYER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.376727,130.900653,"<option value=""812"">LEANYER (812)</option>"
812,MALAK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.392528,130.904018,"<option value=""812"">MALAK (812)</option>"
812,MARRARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.396566,130.882733,"<option value=""812"">MARRARA (812)</option>"
812,WULAGI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.384714,130.897765,"<option value=""812"">WULAGI (812)</option>"
814,NIGHTCLIFF,NT,NIGHTCLIFF,Post Office Boxes                            ,-12.382572,130.853877,"<option value=""814"">NIGHTCLIFF (814)</option>"
820,BAGOT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.410444,130.856124,"<option value=""820"">BAGOT (820)</option>"
820,BAYVIEW,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.440944,130.856539,"<option value=""820"">BAYVIEW (820)</option>"
820,CHARLES DARWIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.443893,130.844191,"<option value=""820"">CHARLES DARWIN (820)</option>"
820,COONAWARRA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.430427,130.882375,"<option value=""820"">COONAWARRA (820)</option>"
820,CULLEN BAY,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.454108,130.822898,"<option value=""820"">CULLEN BAY (820)</option>"
820,EAST POINT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.426947,130.836128,"<option value=""820"">EAST POINT (820)</option>"
820,FANNIE BAY,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.423707,130.836623,"<option value=""820"">FANNIE BAY (820)</option>"
820,LARRAKEYAH,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.459211,130.830686,"<option value=""820"">LARRAKEYAH (820)</option>"
820,LUDMILLA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.425888,130.851446,"<option value=""820"">LUDMILLA (820)</option>"
820,PARAP,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.432181,130.84331,"<option value=""820"">PARAP (820)</option>"
820,STUART PARK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.4389,130.843067,"<option value=""820"">STUART PARK (820)</option>"
820,THE GARDENS,NT,DARWIN DELIVERY CENTRE,Delivery Area                                ,-12.46303,130.841596,"<option value=""820"">THE GARDENS (820)</option>"
